RANK,SUM,Pop_SD,VAR
4195,5423.219,3574.654,27960.174
8390,4661.4,2564.684,14392.301
2097,5179.181,3542.664,27460.673
10487,5270.581,3269.378,23390.174
31462,5636.181,3289.943,23682.654
2097,5087.781,3491.937,26680.574
2097,6063.019,3795.842,31531.172
67118,5758.2,3294.513,23751.661
10487,5453.381,3421.559,25620.334
20975,6337.219,3651.887,29178.993
58729,5544.781,2791.813,17053.412
98580,6458.781,3290.857,23694.993
60826,6398,3590.649,28211.981
8390,5636.181,3006.603,19783.073
29364,5453.381,3155.128,21781.534
2097,5758.2,3550.89,27590.461
52436,6763.6,3292.228,23715.101
2097,6184.581,3659.199,29301.012
10487,5453.381,3446.237,25985.934
6292,6063.019,3280.346,23548.753
60826,6063.019,3199,22391.172
10487,5818.981,3433.898,25803.134
54534,5971.619,3458.119,26168.734
25169,5453.381,3101.659,21050.334
163601,6824.381,3010.716,19831.972
16780,6275.981,3364.434,24767.572
148919,6580.8,2970.043,19303.68
132139,5910.381,2824.26,17455.572
10487,5149.019,3241.958,23000.353
79703,6732.981,3356.208,24645.553
29364,6063.019,3267.55,23365.953
249597,6245.819,2750.226,16553.454
46144,6032.4,3300.454,23837.12
46144,6458.781,3427.5,25705.793
83898,6611.419,3222.307,22720.212
58729,5941,3274.405,23459.181
8390,5666.8,3471.372,26372.099
29364,5849.6,3444.866,25969.939
6292,5179.181,3255.668,23195.492
18877,5606.019,3110.799,21172.353
73411,6337.219,3261.152,23268.612
31462,5057.619,2935.768,18856.734
14682,6063.019,3331.073,24279.953
65021,6275.981,3233.275,22878.334
60826,6672.2,3281.717,23568.861
20975,5971.619,3446.237,25985.934
18877,6337.219,3286.287,23634.212
195063,6245.819,3268.464,23378.292
14682,6732.981,3352.095,24584.772
239109,6885.619,2973.242,19344.353
146822,5971.619,2764.393,16724.372
20975,6063.019,3557.288,27692.372
50339,5057.619,2380.513,12397.953
176186,7007.181,3225.506,22768.654
8390,5666.8,3213.167,22594.08
14682,6093.181,3285.373,23621.873
27267,5270.581,3152.386,21744.974
58729,6489.4,3477.313,26457.101
413198,6367.381,2527.667,13982.372
39852,5849.6,2822.889,17439.12
12585,5118.4,2773.076,16829.939
10487,5575.4,3614.413,28589.92
10487,4570,2985.124,19498.819
117457,6275.981,3314.164,24036.372
167796,6946.4,3509.303,26944.72
23072,6245.819,3643.204,29045.092
2097,5910.381,3714.496,30190.334
2097,5727.581,3562.772,27777.374
8390,5240.419,3269.378,23390.174
190868,5971.619,3284.916,23609.534
31462,5453.381,3305.938,23914.353
20975,6001.781,3515.701,27046.174
2097,4935.6,3109.428,21155.901
106970,5941,3022.141,19985.981
8390,6641.581,3483.711,26559.012
56631,5849.6,3082.465,20790.301
46144,6337.219,3617.155,28630.593
12585,5697.419,3239.673,22963.793
12585,6123.8,3463.603,26250.08
48241,5818.981,3250.641,23122.372
218135,6915.781,3002.947,19734.174
2097,4570,3345.697,24495.2
297838,7159.819,3169.295,21976.673
25169,5758.2,3125.423,21375.261
39852,5880.219,3039.964,20221.793
2097,5910.381,3733.233,30495.153
39852,6184.581,3121.31,21318.593
2097,5544.781,3775.277,31189.793
73411,5941,3040.421,20230.019
12585,6763.6,3428.871,25725.901
10487,5361.981,3305.938,23914.353
201355,6855,3121.767,21326.819
8390,6306.6,3656.914,29260.339
148919,5727.581,2417.53,12787.774
90190,6458.781,3443.495,25949.374
35657,6063.019,3272.12,23426.734
4195,5575.4,3524.841,27188.301
302033,6915.781,3200.371,22415.393
155211,6763.6,3082.465,20790.301
461439,7007.181,2874.073,18077.092
2097,4295.8,2668.88,15586.899
16780,5666.8,3239.216,22959.68
8390,4935.6,2852.594,17804.72
16780,6154.419,3499.706,26802.593
62924,6063.019,3124.052,21355.153
54534,5849.6,3342.498,24446.301
39852,6611.419,3483.711,26559.012
39852,6337.219,3286.287,23634.212
2097,5179.181,3463.146,26241.854
75508,6641.581,3439.839,25888.593
39852,6123.8,2988.78,19547.261
201355,6763.6,3350.724,24568.32
29364,5697.419,3170.209,21989.012
174088,6337.219,3174.322,22049.793
323007,6915.781,2880.014,18150.212
8390,5209.8,3021.227,19974.099
8390,5149.019,3159.241,21842.772
182478,6672.2,3062.357,20522.499
92288,6489.4,3560.487,27736.701
199258,6489.4,3428.871,25725.901
58729,6032.4,3153.757,21765.539
16780,5331.819,3043.62,20270.692
31462,5788.819,3398.252,25267.073
23072,5270.581,3071.954,20648.174
73411,5910.381,3326.96,24219.172
8390,6123.8,3495.593,26737.699
2097,5270.581,3353.466,24608.993
6292,5240.419,3147.816,21684.193
2097,5087.781,3286.287,23634.212
8390,5727.581,3431.613,25766.574
127944,6337.219,2889.611,18271.774
29364,5880.219,3337.014,24365.412
6292,5392.6,3412.419,25482.32
56631,6977.019,3405.564,25376.753
4195,5118.4,3223.678,22740.32
41949,6215.2,3080.637,20766.08
75508,5697.419,2970.5,19307.793
10487,6063.019,3600.246,28362.334
83898,6641.581,3209.511,22537.412
46144,5727.581,3382.714,25035.374
29364,5849.6,3013.915,19876.301
4195,4661.4,2862.191,17926.739
2097,5880.219,3715.867,30215.012
23072,5849.6,3432.984,25787.139
46144,5758.2,3519.357,27103.299
16780,5758.2,3286.287,23630.099
6292,5514.619,3356.208,24645.553
16780,6337.219,3382.714,25035.374
37754,6398,3161.983,21875.219
6292,5910.381,3576.939,27996.734
14682,5727.581,3332.901,24304.174
52436,5849.6,3270.749,23410.739
44046,6184.581,3217.737,22658.974
6292,5240.419,3209.511,22537.412
60826,5301.2,2540.463,14124.499
2097,5971.619,3486.453,26595.572
243304,6520.019,3250.641,23122.372
